Canal;Transportadora;UF Origem;Centro;Cli - Nome;NFe;NFe - Dt E;    NFe - Vlr;Cli - Cidade;UF Destino;Resp.Agend;Ocorrências;Prev. Entr;Dt .Agenda;Status;Cli -  Age;Nº Documen
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DENTECK LTDA;000371395-10;30.12.2024;33.264,83;Cariacica;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12786561
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371396-10;30.12.2024;121.429,82;Campo Grande;MS;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786978
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371397-10;30.12.2024;91.289,95;Campo Grande;MS;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786981
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371398-10;30.12.2024;91.128,87;Campo Grande;MS;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786985
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371399-10;30.12.2024;48.198,41;Campo Grande;MS;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786988
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371400-10;30.12.2024;9.310,69;Campo Grande;MS;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786992
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;MPS DISTRIBUIDORA MERCANTIL LTDA;000017013-35;30.12.2024;312,71;Campo Grande;MS;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786993
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371401-10;30.12.2024;76.928,16;Campo Grande;MS;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786994
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MPS DISTRIBUIDORA MERCANTIL LTDA;000371402-10;30.12.2024;161.622,79;Campo Grande;MS;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;20.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12786995
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371403-10;30.12.2024;39.772,09;Serra;ES;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787017
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FRIOVIX COM. DE REFRIGERACAO LTDA;000017014-35;30.12.2024;6.654,37;Serra;ES;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787020
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371404-10;30.12.2024;597.511,63;Serra;ES;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787023
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371405-10;30.12.2024;112.253,65;Serra;ES;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787026
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371414-10;30.12.2024;514.181,81;João Pessoa;PB;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;17.01.2025;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787170
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371415-10;30.12.2024;498.753,82;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787256
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371416-10;30.12.2024;182.421,90;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787257
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371417-10;30.12.2024;158.953,51;Extrema;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787265
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371418-10;30.12.2024;109.331,52;Extrema;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787266
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371419-10;30.12.2024;91.947,44;Extrema;MG;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787267
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371420-10;30.12.2024;11.928,65;Extrema;MG;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787268
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371421-10;30.12.2024;39.907,18;Extrema;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787269
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371422-10;30.12.2024;32.206,19;Extrema;MG;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787270
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;BHP ENG.TERMICA E COMERCIO LTDA;000017015-35;30.12.2024;2.466,07;Extrema;MG;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787271
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;BHP ENG.TERMICA E COMERCIO LTDA;000017016-35;30.12.2024;9.420,83;Extrema;MG;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787272
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371423-10;30.12.2024;41.352,39;Extrema;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787273
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371424-10;30.12.2024;56.306,64;Extrema;MG;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787274
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371425-10;30.12.2024;65.287,84;Extrema;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787275
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;BHP ENG.TERMICA E COMERCIO LTDA;000371426-10;30.12.2024;32.643,92;Extrema;MG;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787276
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371427-10;30.12.2024;70.389,04;Vila Velha;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787347
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371428-10;30.12.2024;494.121,22;Vila Velha;ES;Grupo A;900-EMISSÃO DE NOTA FISCAL;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787348
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;J. C. M. NITEROI REFRIGERACAO LTDA;000371429-10;30.12.2024;786.642,14;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787513
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371430-10;30.12.2024;73.374,38;João Pessoa;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;17.01.2025;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787514
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371431-10;30.12.2024;10.322,50;João Pessoa;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;17.01.2025;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787515
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371432-10;30.12.2024;247.740,06;João Pessoa;PB;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;17.01.2025;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787516
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371433-10;30.12.2024;196.229,97;João Pessoa;PB;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;17.01.2025;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787518
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371434-10;30.12.2024;172.120,36;João Pessoa;PB;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;17.01.2025;17.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787519
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371435-10;30.12.2024;77.831,10;Conde;PB;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787523
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371436-10;30.12.2024;155.865,00;Conde;PB;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787524
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;REFRIGELO CLIM. DE AMBIENTES S/A;000017017-35;30.12.2024;6.335,88;Conde;PB;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787525
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371437-10;30.12.2024;121.876,53;Conde;PB;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787526
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371438-10;30.12.2024;384.451,06;Conde;PB;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787527
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371439-10;30.12.2024;19.886,05;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787529
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371440-10;30.12.2024;12.776,42;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787530
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371441-10;30.12.2024;157.949,17;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787531
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371442-10;30.12.2024;23.863,25;Conde;PB;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787532
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FRIOVIX COM. DE REFRIGERACAO LTDA;000017018-35;30.12.2024;3.992,63;Conde;PB;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787533
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FRIOVIX COM. DE REFRIGERACAO LTDA;000017019-35;30.12.2024;3.327,19;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787534
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371443-10;30.12.2024;602.291,04;Vila Velha;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787535
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371444-10;30.12.2024;138.772,57;Vila Velha;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787536
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;REFRIGELO CLIM. DE AMBIENTES S/A;000371445-10;30.12.2024;20.746,22;Vila Velha;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787537
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOVIX COM. DE REFRIGERACAO LTDA;000371450-10;30.12.2024;430.953,49;Conde;PB;Grupo B;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787542
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;A L GOMES DISTRIBUICAO LTDA;000371451-10;31.12.2024;13.938,46;Macapá;AP;;900-EMISSÃO DE NOTA FISCAL;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787667
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;A L GOMES DISTRIBUICAO LTDA;000371452-10;31.12.2024;5.895,27;Macapá;AP;;900-EMISSÃO DE NOTA FISCAL;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787668
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DOMESTILAR LTDA;000371453-10;31.12.2024;49.683,09;Macapá;AP;Grupo A;900-EMISSÃO DE NOTA FISCAL;20.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787669
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DISMAQ COM. DE MAT. DE E. LTDA;000371454-10;31.12.2024;85.883,60;Palmas;TO;;900-EMISSÃO DE NOTA FISCAL;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787670
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;B. L. NASSAR E CIA LTDA;000371455-10;31.12.2024;12.698,40;Macapá;AP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787671
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;B. L. NASSAR E CIA LTDA;000371456-10;31.12.2024;12.698,40;Macapá;AP;;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787675
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;UNIFRIO DO RIO COM. DE REFR. LTDA;000371457-10;31.12.2024;260.049,81;Guarapari;ES;;900-EMISSÃO DE NOTA FISCAL;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787677
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;INSTITUTO ADVENTISTA DE ENSINO;000371458-10;31.12.2024;19.395,90;São Paulo;SP;;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787678
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SOC. U. P. DE ENS. RENOVADO OBJETIV;000371460-10;31.12.2024;199.529,87;São Paulo;SP;;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787695
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIGELAR COMERCIO E INDUSTRIA LTDA;000371461-10;31.12.2024;62.839,39;Recife;PE;Grupo B;900-EMISSÃO DE NOTA FISCAL;22.01.2025;22.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787696
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SELF IT ACADEMIAS HOLDING S/A;000371462-10;31.12.2024;6.701,29;São Luís;MA;;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787697
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SELF IT ACADEMIAS HOLDING S/A;000371463-10;31.12.2024;6.701,29;São Luís;MA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787698
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SELF IT ACADEMIAS HOLDING S/A;000371464-10;31.12.2024;6.701,27;Caruaru;PE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787699
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SELF IT ACADEMIAS HOLDING S/A;000371465-10;31.12.2024;6.701,27;Paulista;PE;;900-EMISSÃO DE NOTA FISCAL;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787700
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SELF IT ACADEMIAS HOLDING S/A;000371466-10;31.12.2024;6.701,27;Recife;PE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787701
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SELF IT ACADEMIAS HOLDING S/A;000371467-10;31.12.2024;6.701,29;São Luís;MA;;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787702
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CENCOSUD BRASIL COMERCIAL S/A;000371468-10;31.12.2024;12.395,05;Camaçari;BA;Grupo B;900-EMISSÃO DE NOTA FISCAL;27.01.2025;;03-AGUARDANDO RETORNO CLIENTE - 1° AGENDA; X;12787703
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;IMPERADOR DAS MAQUINAS LTDA;000371469-10;31.12.2024;80.269,02;Belém;PA;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;22.01.2025;30.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12787704
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;UNIVERSO REFR. COM. E SERV. LTDA;000371470-10;31.12.2024;24.401,02;Natal;RN;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787705
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;RIO REFRIGERACAO LTDA;000371471-10;31.12.2024;36.020,75;Santarém;PA;;900-EMISSÃO DE NOTA FISCAL;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787706
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000371472-10;31.12.2024;9.261,21;Cuiabá;MT;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787707
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA CLIMAT. E. R. D. C. S. LTDA;000371473-10;31.12.2024;36.382,89;Aracaju;SE;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787857
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA DIST. E C. EM GERAL LTDA;000371474-10;31.12.2024;25.987,78;Aracaju;SE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787858
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA DIST. E C. EM GERAL LTDA;000371475-10;31.12.2024;86.574,00;Aracaju;SE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787869
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA CLIM. E E. R. D. C. S. LTDA;000371476-10;31.12.2024;61.230,66;Nossa Senhora do Socorro;SE;;900-EMISSÃO DE NOTA FISCAL;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787882
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA CLIMAT. E. R. D. C. S. LTDA;000371477-10;31.12.2024;60.311,27;Aracaju;SE;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787895
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FUTURA DIST. E C. EM GERAL LTDA;000017020-35;31.12.2024;3.363,64;Aracaju;SE;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787905
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FUTURA CLIM. E E. R. D. C. S. LTDA;000017021-35;31.12.2024;10.244,71;Nossa Senhora do Socorro;SE;;900-EMISSÃO DE NOTA FISCAL;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787921
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FUTURA CLIMAT. E. R. D. C. S. LTDA;000017022-35;31.12.2024;10.090,88;Aracaju;SE;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787931
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B216;FUTURA CLIMAT. E. R. D. C. S. LTDA;000017023-35;31.12.2024;4.709,09;Aracaju;SE;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787941
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA DIST. E C. EM GERAL LTDA;000371478-10;31.12.2024;69.619,65;Aracaju;SE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787954
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA CLIM. E E. R. D. C. S. LTDA;000371479-10;31.12.2024;138.122,42;Nossa Senhora do Socorro;SE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787974
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA CLIM. E E. R. D. C. S. LTDA;000371480-10;31.12.2024;78.539,67;Nossa Senhora do Socorro;SE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;27.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12787987
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FUTURA DIST. E C. EM GERAL LTDA;000371481-10;31.12.2024;48.350,24;Aracaju;SE;;900-EMISSÃO DE NOTA FISCAL;22.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12788000
